"","A","B","R","Q","C","CAU","AFA","HIS","API"
"1391",2,44,16,9,3,0.000333,0,0,0
"1392",2,44,16,9,4,0.000167,0,0,0
"1393",2,44,17,1,3,0,0,0.00035,0
"1394",2,44,17,2,4,0.000168,3e-04,0,0
"1395",2,44,17,2,7,5e-04,0,0,0
"1396",2,44,17,3,6,0.000167,0,0,0
"1397",2,44,17,5,6,0.000167,0,0,0
"1398",2,44,17,7,7,0.000341,0,0,0
"1399",2,44,17,8,7,0.000167,0,0,0
"1400",2,44,17,9,7,0.000333,0,0,0
"1401",2,44,18,4,5,0,0.000899,0,0
"1402",2,44,18,6,16,0,3e-04,0,0
"1403",2,44,103,5,1,0,3e-04,0,0
"1404",2,44,103,7,5,0,3e-04,0,0
"1405",2,45,1,1,7,0,3e-04,0,0
"1406",2,45,1,4,7,0.000167,0,0,0
"1407",2,45,3,6,7,0.000167,0,0,0
"1408",2,45,4,2,6,0.000167,0,0,0
"1409",2,45,4,2,7,0.00019,0,0,0
"1410",2,45,4,3,3,0,3e-04,0,0
"1411",2,45,4,3,7,0.000143,0,0,0
"1412",2,45,4,7,6,0,3e-04,0,0
"1413",2,45,4,7,16,0,3e-04,0,0
"1414",2,45,4,8,16,0,0.001799,0,0
"1415",2,45,7,2,3,0,0,0.00035,0
"1416",2,45,7,2,6,0,0.001199,0,0
"1417",2,45,7,2,16,0,6e-04,0,0
"1418",2,45,7,6,7,0.000333,0,0,0
"1419",2,45,8,4,6,0,0,0.00035,0
"1420",2,45,8,4,16,0,0,0.00035,0
"1421",2,45,8,7,10,0,3e-04,0,0
"1422",2,45,10,5,6,0,3e-04,0,0
"1423",2,45,10,5,7,0,0,0.00035,0
"1424",2,45,10,5,16,0,0,0.00035,0
"1425",2,45,11,1,3,0,3e-04,0,0
"1426",2,45,11,5,16,0,0,0.00035,0
"1427",2,45,11,6,2,0,0,0.00035,0
"1428",2,45,11,6,6,0,6e-04,0,0
"1429",2,45,11,7,6,0,0,0.000701,0
"1430",2,45,11,7,16,0,0,0.000701,0
"1431",2,45,11,8,3,0.000167,0,0,0
"1432",2,45,11,9,7,0.000167,0,0,0
"1433",2,45,12,7,9,0,3e-04,0,0
"1434",2,45,12,7,16,0,6e-04,0,0
"1435",2,45,13,5,16,0,0.000899,0,0
"1436",2,45,13,6,8,0,6e-04,0,0
"1437",2,45,13,6,16,0,0.002827,0.00035,0
"1438",2,45,13,7,16,0,6e-04,0,0
"1439",2,45,15,1,4,0,3e-04,0,0
"1440",2,45,15,1,7,0,0,0.00035,0
"1441",2,45,15,6,6,0,0,0.00035,0
"1442",2,45,15,6,16,0,0.004986,0,0
"1443",2,45,15,8,6,0.000167,0,0,0
"1444",2,45,16,5,9,0,0,0.00035,0
"1445",2,45,18,4,2,0,3e-04,0,0
"1446",2,46,4,4,1,0,0,0,0.002155
"1447",2,46,4,8,1,0,0,0,0.002155
"1448",2,46,8,6,1,0,0,0.00035,0.008621
"1449",2,46,9,9,1,0,0,0,0.023707
"1450",2,46,9,9,9,0,0,0,0.002155
"1451",2,46,11,6,10,0.000167,0,0,0
"1452",2,46,12,1,1,0,0,0,0.00431
"1453",2,46,14,8,4,0,0,0,0.002155
"1454",2,47,1,1,3,0.000167,0,0,0
"1455",2,47,12,7,6,0,0,0.00035,0
"1456",2,47,13,6,3,0.000167,0,0,0
"1457",2,48,4,8,8,0,0,0.004239,0
"1458",2,48,8,1,10,0.000167,0,0,0
"1459",2,48,8,4,2,0,0,0.00035,0
"1460",2,48,9,9,8,0,0,0,0.006466
"1461",2,48,11,7,8,0,0,0.001285,0.002155
"1462",2,48,14,3,9,0,0,0.00035,0
"1463",2,48,14,7,4,0,0,0.00035,0
"1464",2,48,14,7,8,0,0,0.000769,0
"1465",2,49,1,5,7,0,0.00032,0,0
"1466",2,49,1,7,8,0.000167,0,0,0
"1467",2,49,3,2,4,0,3e-04,0,0
"1468",2,49,4,3,9,0.000167,0,0,0
"1469",2,49,4,4,17,0.000167,0,0,0
"1470",2,49,4,7,1,0.000167,0,0,0
"1471",2,49,4,8,6,0.000167,0,0,0
"1472",2,49,4,8,7,0,0.000839,0.002849,0
"1473",2,49,7,2,7,0.000167,0.000821,0,0
"1474",2,49,9,2,4,0.000167,0,0,0
"1475",2,49,10,1,2,0,3e-04,0,0
"1476",2,49,10,5,7,0,0,0.000701,0
"1477",2,49,11,2,7,0.000667,0,0,0
"1478",2,49,11,6,7,0,3e-04,0,0
"1479",2,49,11,7,6,0,0,0.000701,0
"1480",2,49,11,7,7,0,0.000939,0,0
"1481",2,49,11,7,10,0.000333,0,0,0
"1482",2,49,12,7,7,0,0,0.00035,0
"1483",2,49,13,1,7,0,0.001199,0.00035,0
"1484",2,49,13,7,3,0.000167,0,0,0
"1485",2,49,13,7,8,0.000167,0,0,0
"1486",2,49,15,6,7,0,0,0.001051,0
"1487",2,49,15,6,16,0.000167,0,0,0
"1488",2,49,16,5,18,0,3e-04,0,0
"1489",2,49,17,2,6,0,0.000383,0,0
"1490",2,49,17,2,7,0,0.000516,0,0
"1491",2,49,17,2,10,0,0,0.00035,0
"1492",2,49,17,6,5,0.000167,0,0,0
"1493",2,49,103,6,1,0.000167,0,0,0
"1494",2,50,1,2,2,0.000167,0,0,0
"1495",2,50,1,5,9,0.000167,0,0,0
"1496",2,50,4,1,6,0,0,0.000701,0
"1497",2,50,4,2,1,0.000167,0,0,0
"1498",2,50,4,4,6,0,0,0.001051,0
"1499",2,50,4,5,5,0.000167,0,0,0
"1500",2,50,4,5,16,0,3e-04,0,0
"1501",2,50,4,6,10,0.000167,0,0,0
"1502",2,50,7,1,16,0.000167,0,0,0
"1503",2,50,7,2,5,6e-05,0,0,0
"1504",2,50,7,2,6,0,0,0.004474,0
"1505",2,50,7,2,7,0.000215,0,0,0
"1506",2,50,7,2,10,0.000167,0,0,0
"1507",2,50,7,5,4,0.000167,0,0,0
"1508",2,50,7,5,7,0.000147,0,0,0
"1509",2,50,7,7,2,0.000167,0,0,0
"1510",2,50,7,7,7,0.000344,0,0,0
"1511",2,50,7,9,6,0,0,0.00035,0
"1512",2,50,7,9,15,0.000167,0,0,0
"1513",2,50,8,2,6,0,0,0,0.002155
"1514",2,50,8,5,4,0,3e-04,0,0
"1515",2,50,9,5,6,0,3e-04,0,0
"1516",2,50,11,1,16,0.000167,0,0,0
"1517",2,50,11,2,7,0.000167,0,0,0
"1518",2,50,13,3,4,0,3e-04,0,0
"1519",2,50,13,6,6,0,0.000576,0.002163,0
"1520",2,50,13,6,9,0.000167,0,0,0
"1521",2,50,15,2,3,0,0,0.00035,0
"1522",2,50,15,6,16,0.000167,0,0,0
"1523",2,50,17,2,6,0,0,0.001402,0
"1524",2,50,17,7,1,0.000167,0,0,0
"1525",2,50,17,7,6,0.000167,0,0,0
"1526",2,50,103,2,6,0.000167,0,0,0
"1527",2,51,1,1,3,0,0,0.00035,0
"1528",2,51,1,2,3,0,0,0.00035,0
"1529",2,51,1,2,12,0.000167,0,0,0
"1530",2,51,1,3,2,0.000167,0,0,0
"1531",2,51,1,4,8,0.000167,0,0,0
"1532",2,51,1,5,1,0.000167,0,0,0
"1533",2,51,1,5,4,0,3e-04,0,0
"1534",2,51,1,5,15,0,3e-04,0,0
"1535",2,51,1,5,16,0,0.001199,0.00035,0
"1536",2,51,1,6,7,0.000333,0,0,0
"1537",2,51,1,6,9,5e-04,0,0,0
"1538",2,51,1,7,2,0.000333,0,0,0
"1539",2,51,1,7,5,0.000167,0,0,0
"1540",2,51,1,7,7,0.000333,0,0,0
"1541",2,51,1,8,2,0.000167,0,0,0
"1542",2,51,1,8,8,0.000167,0,0,0
"1543",2,51,4,1,9,0.000333,0,0,0
"1544",2,51,4,1,17,0.000167,0,0,0
"1545",2,51,4,2,4,0.000167,0,0,0
"1546",2,51,4,2,6,0.000167,0,0,0
"1547",2,51,4,4,15,0,0,0.000864,0
"1548",2,51,4,6,6,0.000333,0,0,0
"1549",2,51,4,6,7,0.000667,0,0,0
"1550",2,51,4,7,5,0,0,0.00035,0
"1551",2,51,4,7,7,0.000171,0,0,0
"1552",2,51,4,7,14,0,3e-04,0,0
"1553",2,51,4,8,1,0.000167,0,0,0
"1554",2,51,4,8,8,0,0,0.000754,0
"1555",2,51,4,8,9,0.000167,0,0,0
"1556",2,51,4,8,15,0,6e-04,0.002541,0
"1557",2,51,6,1,2,0,3e-04,0,0
"1558",2,51,7,2,2,0.000333,0,0.001051,0
"1559",2,51,7,2,5,0.000167,0,0,0
"1560",2,51,7,3,7,5e-04,0,0,0
"1561",2,51,7,5,7,0.000167,0,0,0
"1562",2,51,7,6,7,0.00018,0,0,0
"1563",2,51,7,8,4,0.000333,0,0,0
"1564",2,51,7,8,6,0.000153,0,0,0
"1565",2,51,7,8,7,0.000167,0,0,0
"1566",2,51,7,9,16,0,0,0.00035,0
"1567",2,51,8,3,7,0.000167,0,0,0
"1568",2,51,8,4,7,0,0,0.000966,0
"1569",2,51,8,4,8,0,0,0.001051,0
"1570",2,51,8,4,15,0,0,0.001375,0
"1571",2,51,8,5,5,0.000333,0,0,0
"1572",2,51,8,5,16,0.000167,0,0,0
"1573",2,51,8,6,7,0.000167,0,0,0
"1574",2,51,8,6,12,0.000167,0,0,0
"1575",2,51,8,7,6,0.000333,0,0,0
"1576",2,51,8,7,15,0,0,0.00035,0
"1577",2,51,9,3,12,0.000167,0,0,0
"1578",2,51,9,7,2,0.000167,0,0,0
"1579",2,51,11,1,7,0.000494,0,0,0
"1580",2,51,11,1,8,0.000167,0,0,0
"1581",2,51,11,2,4,0.000612,0,0,0
"1582",2,51,11,2,7,0.000854,0,0,0
"1583",2,51,11,3,2,0,3e-04,0,0
"1584",2,51,11,5,1,0.000167,0,0,0
"1585",2,51,11,6,1,0.000167,0,0,0
"1586",2,51,11,6,3,0.000221,0,0,0
"1587",2,51,11,6,10,0.000167,0,0,0
"1588",2,51,11,7,1,0,0,0,0.002155
"1589",2,51,11,7,2,0,0,0.001051,0
"1590",2,51,11,7,4,0,3e-04,0,0
"1591",2,51,11,7,6,0,0,0.00035,0
"1592",2,51,11,7,7,0.001618,0,0.000897,0
"1593",2,51,11,7,12,0.000167,0,0,0
"1594",2,51,11,7,14,0,0,0.00035,0
"1595",2,51,11,7,15,0,0,0.002065,0
"1596",2,51,11,7,16,0,0,0.000735,0
"1597",2,51,11,8,5,0.000191,0,0,0
"1598",2,51,11,8,8,4.6e-05,0,0,0
"1599",2,51,11,9,5,0.000167,0,0,0
"1600",2,51,12,1,2,0.000167,0,0,0
"1601",2,51,12,2,4,0.000167,0,0,0
"1602",2,51,12,3,4,0.000167,0,0,0
"1603",2,51,12,7,1,0,0,0.001051,0
"1604",2,51,12,7,7,0,0,0.00035,0
"1605",2,51,12,7,15,0,0,0.00035,0
"1606",2,51,13,2,7,0.000347,3e-04,0,0
"1607",2,51,13,3,3,0.000167,0,0,0
"1608",2,51,13,5,4,5e-04,0,0,0
"1609",2,51,13,5,7,0.000833,0,0,0
"1610",2,51,13,5,16,0,0.002203,0.00035,0
"1611",2,51,13,6,3,0,0,0.00035,0
"1612",2,51,13,6,4,0.000333,0,0.000923,0
"1613",2,51,13,6,5,0.000544,0,0,0
"1614",2,51,13,6,9,0.00018,0,0,0
"1615",2,51,13,6,10,0,0,0.000273,0
"1616",2,51,13,6,14,0,0,0.000701,0
"1617",2,51,13,6,16,0,0,0.00035,0
"1618",2,51,13,7,4,0,0,0,0.002155
"1619",2,51,13,7,7,0.000176,0,0,0
"1620",2,51,13,7,9,0.000433,0,0,0
"1621",2,51,13,7,15,0,0,0.00035,0
"1622",2,51,13,7,16,0,0.000512,0,0
"1623",2,51,13,7,18,0,3e-04,0,0
"1624",2,51,14,2,15,0.000167,0,0,0
"1625",2,51,14,5,1,0,0,0.00035,0
"1626",2,51,14,7,7,0,0,0.000435,0
"1627",2,51,14,7,15,0,0,0.002102,0
"1628",2,51,15,1,7,0,0,0.00035,0
"1629",2,51,15,2,8,0.000333,0,0,0
"1630",2,51,15,2,9,0.000167,0,0,0
"1631",2,51,15,2,16,0.000333,0,0,0
"1632",2,51,15,6,14,0,0,0.000701,0
"1633",2,51,15,6,15,0,3e-04,0,0
"1634",2,51,15,6,16,0,3e-04,0.001051,0
"1635",2,51,15,8,6,0.000167,0,0,0
"1636",2,51,15,8,12,0.000167,0,0,0
"1637",2,51,16,2,6,0.000167,0,0,0
"1638",2,51,16,3,12,0.000167,0,0,0
"1639",2,51,16,3,15,0,0,0.00035,0
"1640",2,51,16,5,14,0,0,0,0.002155
"1641",2,51,16,7,7,0.000167,0,0,0
"1642",2,51,16,7,15,0,0,0.001051,0
"1643",2,51,17,1,7,0.000173,0,0,0
"1644",2,51,17,2,10,0,0,0.000427,0
"1645",2,51,17,2,15,0,3e-04,0,0
"1646",2,51,17,4,5,0.000167,0,0,0
"1647",2,51,17,5,15,0,0,0.00035,0
"1648",2,51,17,7,6,0.000167,0,0,0
"1649",2,51,17,7,7,0.000167,0,0,0
"1650",2,51,17,9,7,0.000167,0,0,0
"1651",2,51,18,4,14,0,0,0.00035,0
"1652",2,51,18,4,16,0,6e-04,0,0
"1653",2,52,1,4,6,0,3e-04,0,0
"1654",2,52,4,2,4,0,3e-04,0,0
"1655",2,52,4,8,8,0,0,0.00035,0
"1656",2,52,4,8,10,0,0,0.000701,0
"1657",2,52,4,9,8,0.000167,0,0,0
"1658",2,52,7,2,15,0,0,0.00035,0
"1659",2,52,8,4,6,0,0,0.001051,0
"1660",2,52,8,4,9,0,0,0.000593,0
"1661",2,52,11,3,6,0,0,0.00035,0
"1662",2,52,11,3,7,0,0,0,0.002155
"1663",2,52,11,7,12,0,0,0.00035,0
"1664",2,52,12,6,7,0,0,0.00035,0
"1665",2,52,12,6,16,0,3e-04,0,0
"1666",2,52,13,3,16,0,3e-04,0,0
"1667",2,52,13,5,7,0,3e-04,0,0
"1668",2,52,13,5,8,0,3e-04,0,0
"1669",2,52,14,5,9,0,0,0.000701,0
"1670",2,52,14,7,3,0,0,0.00035,0
"1671",2,52,14,7,9,0,0,0.002102,0
"1672",2,52,14,8,3,0,0,0.00035,0
"1673",2,52,14,8,7,0.000167,0,0,0
"1674",2,52,15,1,1,0,0,0.00035,0
"1675",2,52,15,2,12,0.00015,0,0,0
"1676",2,52,15,6,6,0,0,0.00035,0
"1677",2,52,15,6,8,0,0,0.00035,0
"1678",2,52,15,6,12,0,0,0.000701,0
"1679",2,52,15,6,16,0,3e-04,0,0
"1680",2,52,16,4,4,0,3e-04,0,0
"1681",2,52,16,7,3,0,0,0.00035,0
"1682",2,53,1,1,5,0,3e-04,0,0
"1683",2,53,1,5,4,0,0.001799,0.002214,0
"1684",2,53,1,7,4,0,0,0.00035,0
"1685",2,53,3,7,4,0,3e-04,0,0
"1686",2,53,4,2,12,0.000167,0,0,0
"1687",2,53,4,7,4,0,0,0.00035,0
"1688",2,53,4,8,2,0,0,0.00035,0
"1689",2,53,7,2,4,0,0.001549,0.000701,0
"1690",2,53,7,8,1,0.000167,0,0,0
"1691",2,53,8,6,8,0,3e-04,0,0
"1692",2,53,8,7,17,0,3e-04,0,0
"1693",2,53,8,8,4,0,0,0.00035,0
"1694",2,53,9,2,4,0,0.000899,0,0
"1695",2,53,9,2,6,0,0,0.00035,0
"1696",2,53,11,6,18,0,0,0.00035,0
"1697",2,53,11,7,6,0,3e-04,0,0
"1698",2,53,13,1,4,0,3e-04,0.000701,0
"1699",2,53,13,5,4,0,0.003442,0,0
"1700",2,53,13,6,4,0,0.006825,0.001051,0
"1701",2,53,13,7,4,0,0.001199,0,0
"1702",2,53,15,6,4,0,0.002517,0,0
"1703",2,53,15,6,16,0,3e-04,0,0
"1704",2,53,15,7,7,0.000167,0,0,0
"1705",2,53,17,2,4,0,0.0028,0,0
"1706",2,53,17,2,16,0,3e-04,0,0
"1707",2,53,18,5,7,0,3e-04,0,0
"1708",2,54,8,6,15,0,0,0,0.002155
"1709",2,54,15,6,1,0,0,0,0.002155
"1710",2,55,4,2,7,0.000333,0,0,0
"1711",2,55,4,7,3,0,3e-04,0.00035,0
"1712",2,55,4,7,5,0.000167,0,0,0
"1713",2,55,4,8,5,0.000167,0,0,0
"1714",2,55,7,7,7,0.000167,0,0,0
"1715",2,55,13,6,3,0,3e-04,0,0
"1716",2,55,13,6,4,0,0,0.00035,0
"1717",2,55,15,3,3,0,3e-04,0,0
"1718",2,55,17,2,4,0.000167,0,0,0
"1719",2,55,17,4,4,0.000167,0,0,0
"1720",2,56,1,1,4,0.000167,0,0,0
"1721",2,56,1,1,15,0.000167,0,0,0
"1722",2,56,1,5,1,0,0,0.000701,0
"1723",2,56,1,6,3,0.000167,0,0,0
"1724",2,56,1,7,8,0.000167,0,0,0
"1725",2,56,4,3,1,0,0,0.00035,0
"1726",2,56,4,8,8,0,0,0,0.002155
"1727",2,56,8,4,1,0,0,0.000289,0
"1728",2,56,8,6,7,0.000167,0,0,0
"1729",2,56,9,8,6,0.000167,0,0,0
"1730",2,56,11,6,7,0.000167,0,0,0
"1731",2,56,11,8,7,0.000297,0,0,0
"1732",2,56,15,6,1,0,0,0.000412,0
"1733",2,56,16,5,1,0,0,0,0.002155
"1734",2,56,17,5,2,0,0,0.00035,0
"1735",2,57,1,1,6,0,6e-04,0,0
"1736",2,57,1,1,7,0.000333,0,0,0
"1737",2,57,1,2,18,0.000167,0,0,0
"1738",2,57,1,7,1,0.000167,0,0,0
"1739",2,57,4,2,8,0.000167,0,0,0
"1740",2,57,4,6,6,5e-04,0,0,0
"1741",2,57,4,6,12,0.000167,0,0,0
"1742",2,57,7,1,3,0.000167,0,0,0
"1743",2,57,7,2,3,0,3e-04,0,0
"1744",2,57,7,2,6,0,0,0.00035,0
"1745",2,57,7,2,7,0.001494,0.000581,0,0
"1746",2,57,7,3,4,0,3e-04,0,0
"1747",2,57,7,3,6,0,0,0.000701,0
"1748",2,57,7,4,7,0.000333,0,0,0
"1749",2,57,7,5,6,0.000333,0,0,0
"1750",2,57,7,5,7,0.000166,0,0,0
"1751",2,57,7,6,2,5e-04,0,0,0
"1752",2,57,7,6,4,0.000167,0,0,0
"1753",2,57,7,6,10,0.000167,0,0,0
"1754",2,57,7,7,5,0.001333,0,0,0
"1755",2,57,7,7,10,0.000167,0,0,0
"1756",2,57,7,7,16,0.000167,0,0,0
"1757",2,57,7,7,17,0.000167,0,0,0
"1758",2,57,7,9,6,0,0.001799,0.002102,0
"1759",2,57,8,4,8,0,3e-04,0,0
"1760",2,57,10,1,4,0,3e-04,0,0
"1761",2,57,10,5,7,0,3e-04,0,0
"1762",2,57,11,2,3,0.000167,0,0,0
"1763",2,57,11,3,18,0,3e-04,0,0
"1764",2,57,11,5,7,0.000167,0,0,0
"1765",2,57,11,6,7,0.000167,0,0,0
"1766",2,57,11,7,7,0,0,0.001051,0
"1767",2,57,13,1,16,0.000167,0,0,0
"1768",2,57,13,2,2,0.000167,0,0,0
"1769",2,57,13,2,7,0,0.001499,0,0
"1770",2,57,13,2,18,0,6e-04,0,0
"1771",2,57,13,5,7,0,3e-04,0,0
"1772",2,57,13,6,7,0,3e-04,0,0
"1773",2,57,13,9,3,0.000167,0,0,0
"1774",2,57,14,4,1,0.000167,0,0,0
"1775",2,57,14,5,7,0,3e-04,0,0
"1776",2,57,14,6,1,0.000167,0,0,0
"1777",2,57,15,2,1,0.000167,0,0,0
"1778",2,57,15,6,7,0,0.000318,0,0
"1779",2,57,15,6,18,0,3e-04,0,0
"1780",2,57,15,7,9,0.000333,0,0,0
"1781",2,57,15,8,14,0.000167,0,0,0
"1782",2,57,16,1,6,0,3e-04,0,0
"1783",2,57,17,2,6,0,0,0.00035,0
"1784",2,57,17,2,7,0,6e-04,0,0
"1785",2,57,17,6,6,0.000167,0,0,0
"1786",2,57,18,4,7,0,0,0.000701,0
"1787",2,57,103,7,6,0,0,0.00035,0
"1788",2,58,4,1,5,0.000167,0,0,0
"1789",2,58,7,2,6,0.000167,0,0.00035,0
"1790",2,58,7,2,7,0,0,0.00035,0
"1791",2,58,8,4,7,0,0,0.00035,0
"1792",2,58,10,5,10,0,0,0,0.002155
"1793",2,58,11,1,3,0,3e-04,0,0
"1794",2,58,11,2,5,0.000167,0,0,0
"1795",2,58,11,7,7,0,0.001815,0,0
"1796",2,58,12,5,6,0,0.001499,0.000701,0
"1797",2,58,12,7,7,0,0,0.00035,0
"1798",2,58,13,1,6,0.000167,0,0,0
"1799",2,58,13,3,15,0.000167,0,0,0
"1800",2,58,13,5,6,0,3e-04,0,0
"1801",2,58,13,6,6,0,0.002507,0,0
"1802",2,58,13,6,10,0,3e-04,0,0
"1803",2,58,13,6,16,0.000167,0,0,0
"1804",2,58,13,9,6,0,0.001199,0,0
"1805",2,58,14,5,4,0,3e-04,0,0
"1806",2,58,15,1,7,0,0,0.00035,0
"1807",2,58,15,6,6,0,0.000306,0,0
"1808",2,58,15,6,7,0,0.001783,0.001752,0
"1809",2,58,15,6,15,0,0,0.00035,0
"1810",2,58,16,1,7,0,0,0.00035,0
"1811",2,58,16,4,6,0.000167,0,0,0
"1812",2,58,16,5,6,0,0,0.00035,0
"1813",2,58,16,5,7,0,0,0.00035,0
"1814",2,58,16,5,16,0.000167,0,0,0
"1815",2,58,16,6,7,0,0,0.00035,0
"1816",2,58,17,1,1,0.000167,0,0,0
"1817",2,58,17,2,10,0,3e-04,0.00035,0.00431
"1818",2,58,17,6,2,0.000167,0,0,0
"1819",2,58,18,4,7,0,6e-04,0,0
"1820",2,58,103,7,6,0.000167,0,0,0
"1821",2,59,4,8,3,0,0,0,0.002155
"1822",2,60,1,2,7,0.000182,0,0,0
"1823",2,60,1,5,3,0,0,0.000427,0
"1824",2,60,1,5,10,0,6e-04,0.000179,0
"1825",2,60,1,6,6,5e-04,0,0,0
"1826",2,60,1,6,10,0.000167,0,0,0
"1827",2,60,1,7,3,0.000152,0,0,0
"1828",2,60,4,1,3,0.000833,0,0,0
"1829",2,60,4,1,10,0.000167,0,0,0
"1830",2,60,4,2,6,5e-04,0,0,0
"1831",2,60,4,3,3,0,0,0,0.002155
"1832",2,60,4,3,5,0.000167,0,0,0
"1833",2,60,4,4,2,0.000333,0,0,0
"1834",2,60,4,5,3,0,0,0,0.002155
"1835",2,60,4,5,5,0.000189,0,0,0
"1836",2,60,4,5,6,0.000333,0,0,0
"1837",2,60,4,5,7,0.000167,0,0,0
"1838",2,60,4,6,5,0.000333,0,0,0
"1839",2,60,4,6,9,0.000333,0,0,0
"1840",2,60,4,7,1,0.000333,0,0,0
"1841",2,60,4,7,2,0.000167,0,0.00035,0
"1842",2,60,4,7,3,0,3e-04,0,0
"1843",2,60,4,7,4,0.000167,0,0,0
"1844",2,60,4,7,5,0.000468,0,0,0
"1845",2,60,4,7,7,0.000343,0,0,0
"1846",2,60,4,8,3,0,0,0.000397,0
"1847",2,60,4,8,7,0.000449,0,0,0
"1848",2,60,4,8,10,0,0,0.001051,0
"1849",2,60,7,1,4,0.000167,0,0,0
"1850",2,60,7,2,4,0,3e-04,0,0
"1851",2,60,7,3,7,0,0,0.00035,0
"1852",2,60,7,6,2,0.000167,0,0,0
"1853",2,60,7,6,7,0.000167,0,0,0
"1854",2,60,7,9,6,0.000167,0,0,0
"1855",2,60,8,2,6,0.000167,0,0,0
"1856",2,60,8,2,14,0.000167,0,0,0
"1857",2,60,8,3,3,0,0,0.00035,0
"1858",2,60,8,4,3,0.000167,0,0.000654,0
"1859",2,60,8,4,10,0,0.000476,0,0
"1860",2,60,8,5,3,0.000167,0,0,0
"1861",2,60,9,1,5,0.000167,0,0,0
"1862",2,60,9,2,6,0.000167,0,0,0
"1863",2,60,9,5,1,0.000167,0,0,0
"1864",2,60,9,7,1,0,0,0,0.002155
"1865",2,60,9,7,2,0.000167,0,0,0
"1866",2,60,9,9,7,0,0,0,0.006466
"1867",2,60,9,9,10,0,0,0,0.002155
"1868",2,60,10,8,8,0.000167,0,0,0
"1869",2,60,11,1,4,0.000167,0,0,0
"1870",2,60,11,2,4,0.000333,0,0,0
"1871",2,60,11,3,2,0.000167,0,0,0
"1872",2,60,11,6,7,0.000167,0,0,0
"1873",2,60,11,6,9,0.000167,0,0,0
"1874",2,60,11,7,10,0.000333,0,0,0
"1875",2,60,11,8,7,0.000333,0,0,0
"1876",2,60,12,6,6,0.000167,0,0,0
"1877",2,60,13,2,4,0.000167,0,0,0
"1878",2,60,13,2,5,5e-04,0,0,0
"1879",2,60,13,2,7,0.002208,0,0,0
"1880",2,60,13,3,4,0.000167,0,0,0
"1881",2,60,13,5,1,0.000167,0,0,0
"1882",2,60,13,5,5,0.000383,0,0,0
"1883",2,60,13,5,7,0.000203,0,0,0
"1884",2,60,13,5,10,0.000333,0,0,0
"1885",2,60,13,5,14,0.000167,0,0,0
"1886",2,60,13,6,4,0,3e-04,0,0
"1887",2,60,13,6,6,5e-04,0,0,0
"1888",2,60,13,6,7,5e-04,0,0,0
"1889",2,60,13,6,10,0,0.000796,0.00062,0
"1890",2,60,13,6,12,0.000167,0,0,0
"1891",2,60,13,7,1,0.000167,0,0,0
"1892",2,60,13,7,3,0.000182,0,0,0
"1893",2,60,13,7,12,5e-04,0,0,0
"1894",2,60,13,8,7,0.000167,0,0,0
"1895",2,60,13,8,12,0.000167,0,0,0
"1896",2,60,14,6,7,0.000375,0,0,0
"1897",2,60,14,7,7,0.000167,0,0,0
"1898",2,60,15,1,7,0.000333,0,0,0
"1899",2,60,15,2,5,0.000169,0,0,0
"1900",2,60,15,2,7,0.000718,0,0,0
"1901",2,60,15,2,8,0.000333,0,0,0
"1902",2,60,15,2,12,0.000167,0,0,0
"1903",2,60,15,6,7,0.000532,0,0,0.00431
"1904",2,60,15,6,9,0.000167,0,0,0
"1905",2,60,15,6,10,0,0,0.00035,0
"1906",2,60,15,7,9,0.000167,0,0,0
"1907",2,60,15,8,10,0.000167,0,0,0
"1908",2,60,15,9,12,0.000167,0,0,0
"1909",2,60,16,5,3,0,0,0.00035,0
"1910",2,60,16,7,10,0,0,0.00035,0
"1911",2,60,17,2,7,0,0,0,0.002155
"1912",2,60,17,2,10,0,3e-04,0,0
"1913",2,60,17,7,15,0.000167,0,0,0
"1914",2,60,17,9,7,0.000167,0,0,0
"1915",2,60,103,1,7,0.000167,0,0,0
"1916",2,60,103,3,4,0.000167,0,0,0
"1917",2,61,1,1,9,0,0,0.000701,0
"1918",2,61,1,2,10,0.000167,0,0,0
"1919",2,61,4,3,3,0,0,0.000701,0
"1920",2,61,4,3,9,0,0,0.00035,0
"1921",2,61,4,4,10,0,0,0,0.002155
"1922",2,61,4,7,3,0.000167,0,0,0
"1923",2,61,4,8,2,0,3e-04,0,0
"1924",2,61,4,8,3,0,0,0.004081,0
"1925",2,61,4,8,10,0,0,0.007086,0
"1926",2,61,4,8,15,0,0,0.000435,0
"1927",2,61,7,7,6,0.000167,0,0,0
"1928",2,61,8,2,10,0.000167,0,0,0
"1929",2,61,8,4,3,0,0,0.000883,0
"1930",2,61,8,4,10,0,0,0.0011,0
"1931",2,61,8,4,15,0,0,0.00035,0
"1932",2,61,8,5,2,0,3e-04,0,0
"1933",2,61,8,5,5,0.000167,0,0,0
"1934",2,61,9,9,1,0,0,0.00035,0.002155
"1935",2,61,9,9,3,0,0,0,0.002155
"1936",2,61,10,9,16,0.000167,0,0,0
"1937",2,61,11,5,12,0.000167,0,0,0
"1938",2,61,11,6,7,0.000167,0,0,0
"1939",2,61,11,7,2,0,0,0.000367,0
"1940",2,61,11,7,3,0,0,0.000514,0
"1941",2,61,11,7,6,0,0,0.00035,0
"1942",2,61,13,2,12,0,3e-04,0,0
"1943",2,61,13,2,15,0.000167,0,0,0
"1944",2,61,13,7,10,0,0,0.00035,0
